"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","930","TestWebSocketLogStreaming","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/backend","script-platform/server/backend",""
"","0","test_robot_type_text","core.test","Mon Feb 09 13:19:31 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestRobotPlatform","test_platform_abstraction","",""
"","1","test_ocr_delegation","core.test","Mon Feb 09 13:19:30 UTC 2026","passed","Mon Feb 09 13:19:30 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","0","test_adb_snapshot_flow","core.test","Mon Feb 09 13:19:31 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestAdbPlatform","test_platform_abstraction","",""
"","20","TestListScripts_Mock","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"測試 ScriptInterface 的預設值初始化","0","test_init_defaults","core.test","Mon Feb 09 13:19:31 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestScriptInterface","test_script_interface","",""
"","0","TestHelperProcess","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","279","Test unknown command","core.test","Mon Feb 09 13:19:29 UTC 2026","passed","Mon Feb 09 13:19:29 UTC 2026","TestEntryCLI","CLI Tests","",""
"測試 image_root 的路徑計算是否正確","0","test_image_root_calculation","core.test","Mon Feb 09 13:19:31 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestScriptInterface","test_script_interface","",""
"","1","test_robot_click","core.test","Mon Feb 09 13:19:31 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestRobotPlatform","test_platform_abstraction","",""
"","200","TestKillProcess_Alive","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/utils","script-platform/server/utils",""
"","2","test_find_image_logic","core.test","Mon Feb 09 13:19:30 UTC 2026","passed","Mon Feb 09 13:19:30 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","0","test_adb_key_event_enum","core.test","Mon Feb 09 13:19:31 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestAdbPlatform","test_platform_abstraction","",""
"","280","Test run command with missing script id","core.test","Mon Feb 09 13:19:29 UTC 2026","passed","Mon Feb 09 13:19:29 UTC 2026","TestEntryCLI","CLI Tests","",""
"","1","test_click_image_delegation","core.test","Mon Feb 09 13:19:30 UTC 2026","passed","Mon Feb 09 13:19:30 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"Verify OCR logic by programmatically drawing characters and matching them.","2","Test ocr_character with synthetic templates","core.test","Mon Feb 09 13:19:29 UTC 2026","passed","Mon Feb 09 13:19:29 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","2","test_robot_snapshot","core.test","Mon Feb 09 13:19:31 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestRobotPlatform","test_platform_abstraction","",""
"","1005","test_wait_image_timeout","core.test","Mon Feb 09 13:19:30 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","0","TestGetAssetPath_Security","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","0","TestGetAssetPath_Security/Path_escape_attempt_(parent)","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"Verify that find_match returns a perfect score (near 0 for SQDIFF) and correct coordinates for an exact match.","12","Test find_match with exact match","core.test","Mon Feb 09 13:19:29 UTC 2026","passed","Mon Feb 09 13:19:29 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","0","TestGetAssetPath_Security/Path_escape_attempt_(absolute_Windows)","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","2","Test ocr_pattern with synthetic templates","core.test","Mon Feb 09 13:19:29 UTC 2026","passed","Mon Feb 09 13:19:29 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","80","TestKillProcess_AlreadyDead","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/utils","script-platform/server/utils",""
"","0","Test path security in MatchOCRAdaptor","core.test","Mon Feb 09 13:19:30 UTC 2026","passed","Mon Feb 09 13:19:30 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","0","TestGetAssetPath_Security/Valid_asset_in_project","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"Verify that 'python core/entry.py list' returns a valid JSON array of scripts","291","Test 'list' command output format","core.test","Mon Feb 09 13:19:29 UTC 2026","passed","Mon Feb 09 13:19:29 UTC 2026","TestEntryCLI","CLI Tests","",""
"","0","test_find_image_with_region","core.test","Mon Feb 09 13:19:30 UTC 2026","passed","Mon Feb 09 13:19:30 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","0","TestKillProcess_Nil","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/utils","script-platform/server/utils",""
"","2","test_adb_click_command","core.test","Mon Feb 09 13:19:31 UTC 2026","passed","Mon Feb 09 13:19:31 UTC 2026","TestAdbPlatform","test_platform_abstraction","",""
"","0","TestGetAssetPath_Security/Root_access_(allowed_within_project)","","Mon Feb 09 13:19:27 UTC 2026","passed","Mon Feb 09 13:19:27 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
