"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestKillProcess_Nil","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/utils","script-platform/server/utils",""
"測試 image_root 的路徑計算是否正確","1","test_image_root_calculation","core.test","Sat Feb 07 15:52:41 UTC 2026","passed","Sat Feb 07 15:52:41 UTC 2026","TestScriptInterface","test_script_interface","",""
"","0","test_adb_key_event_enum","core.test","Sat Feb 07 15:52:41 UTC 2026","passed","Sat Feb 07 15:52:41 UTC 2026","TestAdbPlatform","test_platform_abstraction","",""
"","80","TestKillProcess_AlreadyDead","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/utils","script-platform/server/utils",""
"","0","test_robot_click","core.test","Sat Feb 07 15:52:41 UTC 2026","passed","Sat Feb 07 15:52:41 UTC 2026","TestRobotPlatform","test_platform_abstraction","",""
"","1070","TestWebSocketLogStreaming","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:38 UTC 2026","","script-platform/server/backend","script-platform/server/backend",""
"","0","test_click_image_delegation","core.test","Sat Feb 07 15:52:40 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","2","Test ocr_pattern with synthetic templates","core.test","Sat Feb 07 15:52:40 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","0","TestGetAssetPath_Security/Root_access_(allowed_within_project)","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","0","test_robot_type_text","core.test","Sat Feb 07 15:52:41 UTC 2026","passed","Sat Feb 07 15:52:41 UTC 2026","TestRobotPlatform","test_platform_abstraction","",""
"","0","test_adb_snapshot_flow","core.test","Sat Feb 07 15:52:41 UTC 2026","passed","Sat Feb 07 15:52:41 UTC 2026","TestAdbPlatform","test_platform_abstraction","",""
"Verify that find_match returns a perfect score (near 0 for SQDIFF) and correct coordinates for an exact match.","11","Test find_match with exact match","core.test","Sat Feb 07 15:52:40 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","0","TestHelperProcess","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","2","test_adb_click_command","core.test","Sat Feb 07 15:52:41 UTC 2026","passed","Sat Feb 07 15:52:41 UTC 2026","TestAdbPlatform","test_platform_abstraction","",""
"","0","TestGetAssetPath_Security/Valid_asset_in_project","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","0","TestGetAssetPath_Security","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","0","Test path security in MatchOCRAdaptor","core.test","Sat Feb 07 15:52:40 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","1","test_find_image_with_region","core.test","Sat Feb 07 15:52:40 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","2","test_robot_snapshot","core.test","Sat Feb 07 15:52:41 UTC 2026","passed","Sat Feb 07 15:52:41 UTC 2026","TestRobotPlatform","test_platform_abstraction","",""
"","20","TestListScripts_Mock","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","280","Test run command with missing script id","core.test","Sat Feb 07 15:52:39 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestEntryCLI","CLI Tests","",""
"","0","TestGetAssetPath_Security/Path_escape_attempt_(parent)","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","200","TestKillProcess_Alive","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/utils","script-platform/server/utils",""
"","1","test_ocr_delegation","core.test","Sat Feb 07 15:52:40 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"Verify that 'python core/entry.py list' returns a valid JSON array of scripts","291","Test 'list' command output format","core.test","Sat Feb 07 15:52:39 UTC 2026","passed","Sat Feb 07 15:52:39 UTC 2026","TestEntryCLI","CLI Tests","",""
"Verify OCR logic by programmatically drawing characters and matching them.","4","Test ocr_character with synthetic templates","core.test","Sat Feb 07 15:52:40 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","279","Test unknown command","core.test","Sat Feb 07 15:52:39 UTC 2026","passed","Sat Feb 07 15:52:39 UTC 2026","TestEntryCLI","CLI Tests","",""
"","0","TestGetAssetPath_Security/Path_escape_attempt_(absolute_Windows)","","Sat Feb 07 15:52:37 UTC 2026","passed","Sat Feb 07 15:52:37 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","1","test_find_image_logic","core.test","Sat Feb 07 15:52:40 UTC 2026","passed","Sat Feb 07 15:52:40 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
