"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestGetAssetPath_Security/Root_access_(allowed_within_project)","","Sat Feb 07 15:35:39 UTC 2026","passed","Sat Feb 07 15:35:39 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","1","test_click_image_delegation","core.test","Sat Feb 07 15:35:41 UTC 2026","passed","Sat Feb 07 15:35:41 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","1004","test_wait_image_timeout","core.test","Sat Feb 07 15:35:41 UTC 2026","passed","Sat Feb 07 15:35:42 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","0","test_adb_snapshot_flow","core.test","Sat Feb 07 15:35:42 UTC 2026","passed","Sat Feb 07 15:35:42 UTC 2026","TestAdbPlatform","test_platform_abstraction","",""
"","90","TestKillProcess_AlreadyDead","","Sat Feb 07 15:35:39 UTC 2026","passed","Sat Feb 07 15:35:39 UTC 2026","","script-platform/server/utils","script-platform/server/utils",""
"","2","test_robot_snapshot","core.test","Sat Feb 07 15:35:42 UTC 2026","passed","Sat Feb 07 15:35:42 UTC 2026","TestRobotPlatform","test_platform_abstraction","",""
"測試 ScriptInterface 的預設值初始化","2","test_init_defaults","core.test","Sat Feb 07 15:35:42 UTC 2026","passed","Sat Feb 07 15:35:42 UTC 2026","TestScriptInterface","test_script_interface","",""
"","1","test_ocr_delegation","core.test","Sat Feb 07 15:35:41 UTC 2026","passed","Sat Feb 07 15:35:41 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","2","test_robot_click","core.test","Sat Feb 07 15:35:42 UTC 2026","passed","Sat Feb 07 15:35:42 UTC 2026","TestRobotPlatform","test_platform_abstraction","",""
"","2","test_adb_click_command","core.test","Sat Feb 07 15:35:42 UTC 2026","passed","Sat Feb 07 15:35:42 UTC 2026","TestAdbPlatform","test_platform_abstraction","",""
"","2","Test ocr_pattern with synthetic templates","core.test","Sat Feb 07 15:35:41 UTC 2026","passed","Sat Feb 07 15:35:41 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","2","test_find_image_logic","core.test","Sat Feb 07 15:35:41 UTC 2026","passed","Sat Feb 07 15:35:41 UTC 2026","TestPlatformServiceBase","test_platform_abstraction","",""
"","0","TestHelperProcess","","Sat Feb 07 15:35:39 UTC 2026","passed","Sat Feb 07 15:35:39 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","277","Test run command with missing script id","core.test","Sat Feb 07 15:35:41 UTC 2026","passed","Sat Feb 07 15:35:41 UTC 2026","TestEntryCLI","CLI Tests","",""
"","275","Test unknown command","core.test","Sat Feb 07 15:35:41 UTC 2026","passed","Sat Feb 07 15:35:41 UTC 2026","TestEntryCLI","CLI Tests","",""
"測試 image_root 的路徑計算是否正確","2","test_image_root_calculation","core.test","Sat Feb 07 15:35:42 UTC 2026","passed","Sat Feb 07 15:35:42 UTC 2026","TestScriptInterface","test_script_interface","",""
"","0","Test path security in MatchOCRAdaptor","core.test","Sat Feb 07 15:35:41 UTC 2026","passed","Sat Feb 07 15:35:41 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","0","TestKillProcess_Nil","","Sat Feb 07 15:35:39 UTC 2026","passed","Sat Feb 07 15:35:39 UTC 2026","","script-platform/server/utils","script-platform/server/utils",""
